,artist,track
0,Black Sabbath,War Pigs
1,The Pack,This Shit Slappin'
2,M.I.A.,Paper Planes
3,Jimmy Smith,I'm Gonna Love You Just a Little More Babe
4,Dorrough,Ice Cream Paint Job
5,J-Kwon,Tipsy '09
6,N.W.A,"Appetite for Destruction"" (portion sampled samples ""Get Me Back on Time, Engine #9"" by Wilson Pickett)"
7,Missy Elliott,Get Ur Freak On
8,Busta Rhymes featuring Sean Paul and Spliff Star,Make It Clap
9,Jay-Z featuring Amil and Ja Rule,Can I Get A...
10,Barry White,I'm Gonna Love You Just a Little More Baby
11,Clipse featuring Pharrell,I'm Good
12,Jay-Z,"D.O.A. (Death of Auto-Tune)"" (portion sampled samples ""In the Space"" by Janko Nilović and Dave Sucky)"
13,GZA,"Liquid Swords"" (portion sampled samples ""Groovin'"" by Willie Mitchell)"
14,Beck,"Loser"" (portion sampled samples ""I Walk on Gilded Splinters"" by Johnny Jenkins)"
15,Jean Knight,Mr. Big Stuff
16,Sir Mix-a-Lot,Posse on Broadway
17,DMX,What's My Name?
18,Slim featuring Red Café,Break U Down (Remix)
19,Terror Squad,Lean Back
20,Ester Dean featuring Chris Brown,Drop It Low
21,Uncle Louie,I Like Funky Music
22,Beyoncé,Single Ladies (Put a Ring on It)
23,Miley Cyrus,Party in the U.S.A.
24,"Dr. Dre featuring Snoop Dogg, Nate Dogg, and Kurupt",The Next Episode
25,Portishead,"Sour Times"" (portion sampled samples ""Danube Incident"" by Lalo Schifrin)"
26,Talking Heads,Take Me to the River
27,Jadakiss featuring Swizz Beatz and OJ Da Juiceman,Who's Real
28,Public Enemy,"Public Enemy No. 1"" (portion sampled samples ""Feel the Heartbeat"" by Treacherous Three)"
29,Cypress Hill,"How I Could Just Kill a Man"" (portion sampled samples ""Midnight Theme"" by Manzel)"
30,Busta Rhymes,Dangerous
31,Master P featuring 5th Ward Weebie and Krazy,Rock It
32,White Town,Your Woman
33,Lady GaGa,LoveGame
34,Snoop Dogg featuring The-Dream,Gangsta Luv
35,George Michael,Freedom! '90
36,Busta Rhymes featuring Swizz Beatz,Stop the Party
37,DMX,Party Up (Up in Here)
38,Toadies,Possum Kingdom
