,artist,track,track_uri
0,Black Sabbath,War Pigs,spotify:track:2rd9ETlulTbz6BYZcdvIE1
1,The Pack,This Shit Slappin',spotify:track:4IeUAegXVbETb7FpgNDnSM
2,M.I.A.,Paper Planes,spotify:track:1ixbwbeBi5ufN4noUKmW5a
3,Jimmy Smith,I'm Gonna Love You Just a Little More Babe,spotify:track:1uu0es5Bu7orSWkqS5rXp7
4,Dorrough,Ice Cream Paint Job,spotify:track:57QFOU3f7O0gDLadxv5z8w
5,J-Kwon,Tipsy '09,spotify:track:6hfxpCx7AYCjyOkmkapQVS
6,N.W.A,"Appetite for Destruction"" (portion sampled samples ""Get Me Back on Time, Engine #9"" by Wilson Pickett)",spotify:track:3OMqeZU9lQGimMwMjPvBsp
7,Missy Elliott,Get Ur Freak On,spotify:track:6zsk6uF3MxfIeHPlubKBvR
8,Busta Rhymes featuring Sean Paul and Spliff Star,Make It Clap,spotify:track:6h4JuOPlHFYpHPIEmBwbus
9,Jay-Z featuring Amil and Ja Rule,Can I Get A...,spotify:track:2PzU4IB8Dr6mxV3lHuaG34
10,Barry White,I'm Gonna Love You Just a Little More Baby,spotify:track:1uu0es5Bu7orSWkqS5rXp7
11,Clipse featuring Pharrell,I'm Good,spotify:track:4nyF5lmSziBAt7ESAUjpbx
12,Jay-Z,"D.O.A. (Death of Auto-Tune)"" (portion sampled samples ""In the Space"" by Janko Nilović and Dave Sucky)",spotify:track:5kMsjfhYMZ1L9Btuu0AIRx
13,GZA,"Liquid Swords"" (portion sampled samples ""Groovin'"" by Willie Mitchell)",spotify:track:4dmh3OPtAhbEybhGoOG9TE
14,Beck,"Loser"" (portion sampled samples ""I Walk on Gilded Splinters"" by Johnny Jenkins)",spotify:track:5PntSbMHC1ud6Vvl8x56qd
15,Jean Knight,Mr. Big Stuff,spotify:track:2Bls0igCm79XQQ95IoUbhq
16,Sir Mix-a-Lot,Posse on Broadway,spotify:track:7MmhQMfjXPF2AnqrmbqvVB
17,DMX,What's My Name?,spotify:track:6OQrmEIK8KOOVcSoSaEo40
18,Slim featuring Red Café,Break U Down (Remix),spotify:track:5ZManJDV3CexO66nRCkdiV
19,Terror Squad,Lean Back,spotify:track:2Ozc0me9PV5vlt8cokwdvI
20,Ester Dean featuring Chris Brown,Drop It Low,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA
21,Uncle Louie,I Like Funky Music,spotify:track:4vegvPpsZz5hBHLISKzfRk
22,Beyoncé,Single Ladies (Put a Ring on It),spotify:track:2ZBNclC5wm4GtiWaeh0DMx
23,Miley Cyrus,Party in the U.S.A.,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1
24,"Dr. Dre featuring Snoop Dogg, Nate Dogg, and Kurupt",The Next Episode,spotify:track:4LwU4Vp6od3Sb08CsP99GC
25,Portishead,"Sour Times"" (portion sampled samples ""Danube Incident"" by Lalo Schifrin)",spotify:track:6vTtCOimcPs5H1Jr9d0Aep
26,Talking Heads,Take Me to the River,spotify:track:1oV1tu8utgHQjLJsEK9sVl
27,Jadakiss featuring Swizz Beatz and OJ Da Juiceman,Who's Real,spotify:track:5yorXJWdBan1Vlh116ZtQ7
28,Public Enemy,"Public Enemy No. 1"" (portion sampled samples ""Feel the Heartbeat"" by Treacherous Three)",spotify:track:0bpeXTCwvkZad3GRtFSIOT
29,Cypress Hill,"How I Could Just Kill a Man"" (portion sampled samples ""Midnight Theme"" by Manzel)",spotify:track:6l4wMAXzI8RxIysQMYZY0w
30,Busta Rhymes,Dangerous,spotify:track:2cZuNzaAGNFozlZTxSDU1g
31,Master P featuring 5th Ward Weebie and Krazy,Rock It,spotify:track:7ytR5pFWmSjzHJIeQkgog4
32,White Town,Your Woman,spotify:track:4ACxa9buEUnOdYEoPcnMpi
33,Lady GaGa,LoveGame,spotify:track:0TcJ7QWpggdSg8t0fHThHm
34,Snoop Dogg featuring The-Dream,Gangsta Luv,spotify:track:2HYvkdq6lpFXkVz9Tfqi8r
35,George Michael,Freedom! '90,spotify:track:3tyTt5pEWblt96j1HsXiV5
36,Busta Rhymes featuring Swizz Beatz,Stop the Party,spotify:track:7hQJA50XrCWABAu5v6QZ4i
37,DMX,Party Up (Up in Here),spotify:track:4XSgaQfGgJ9FDCcvmOe404
38,Toadies,Possum Kingdom,spotify:track:56SkdBKyR2zOkjk6wVFI9s
39,U2,Sunday Bloody Sunday,spotify:track:6C4LXC9UFH1IKiHYOp0BiJ
40,Third Eye Blind,Semi-Charmed Life,spotify:track:42et6fnHCw1HIPSrdPprMl
41,Kid 'n Play,Rollin' with Kid 'n Play,spotify:track:0sLrHBMJNOxEcMhcseE3I4
42,Heavy D & the Boyz,We Got Our Own Thang,spotify:track:0yndiszlOMgxOu3y2vKZvB
43,The Grateful Dead,Casey Jones,spotify:track:7LbfuQVct78YoghmoPtsQ8
44,Ice Cube,The Nigga Ya Love to Hate,spotify:track:3Mzqw2mz9YMKjjCEmypYfZ
45,INXS,Need You Tonight,spotify:track:5eU8qMd0TpaLqTGDZJaLDs
46,Lisa Lisa and Cult Jam,"Let the Beat Hit 'Em"" (portion sampled samples ""AJ Scratch"" by Kurtis Blow)",spotify:track:41ujf14Vmg5aYK0kPiV50m
47,Grand Funk Railroad,We're an American Band,spotify:track:52XSq4ZU4Wu3IZ2wcaBhhD
48,New Order,Bizarre Love Triangle,spotify:track:6wVViUl2xSRoDK2T7dMZbR
49,White Zombie,Thunder Kiss '65,spotify:track:4tvBoSWeIW0bjhKNre5mod
50,Twista featuring Erika Shevon,Wetter,spotify:track:6Ius4TC0L3cN74HT7ENE6e
51,Aphex Twin,Windowlicker,spotify:track:60Pe9j2pCBa4Zp4ztf5nhd
52,Daft Punk,One More Time,spotify:track:0DiWol3AO6WpXZgp0goxAV
53,Rye Rye featuring M.I.A.,Bang,spotify:track:65OVbaJR5O1RmwOQx0875b
54,Pitbull,Hotel Room Service,spotify:track:6Rb0ptOEjBjPPQUlQtQGbL
55,The Who,Won't Get Fooled Again,spotify:track:5s1VORsus8WrrDiEjlmB7S
56,Frankie Smith,Double Dutch Bus,spotify:track:1EVJeWeItAPcATFolrw3VR
57,Missy Elliott featuring Ludacris,Gossip Folks,spotify:track:75DjPjiIp2fvJDjtt41Jfs
58,Young Jeezy,Bottom of the Map,spotify:track:3EmNjy3zFszmAOCikiKxCd
59,The Grass Roots,Let's Live for Today,spotify:track:4UteAW3ZmZaB2Ru3FjB0dp
60,Run-D.M.C.,It's Tricky,spotify:track:6jBCehpNMkwFVF3dz4nLIW
61,Derek and the Dominos,Layla,spotify:track:2kkvB3RNRzwjFdGhaUA0tz
62,Mandrill,Honey Butt,spotify:track:6FfLg6FFqhCsrFOaHIGkg0
63,Alanis Morissette,You Oughta Know,spotify:track:3jS7bB0oXVOwGFZn3aE5NV
64,Warrant,Cherry Pie,spotify:track:7LygtNjQ65PSdzVjUnHXQb
65,Michael Jackson,Black or White,spotify:track:2Cy7QY8HPLk925AyNAt6OG
66,Flo Rida featuring Kesha,Right Round,spotify:track:5x4yVR0yeU4SdryNCxyxgb
67,Crystal Waters,Gypsy Woman (She's Homeless),spotify:track:1SShxVVBeZBCY7WddnksPz
68,Madness,Our House,spotify:track:1qV6e4ITnfGmA6m6Vklvbi
69,Pitbull featuring Lil Jon,Krazy,spotify:track:5knxa9j29AigAUHKxnB7m5
70,The Rapture,House of Jealous Lovers,spotify:track:0MrkkxbgfHfbxrTg12oHd4
